#Quality	count1	fraction1	count2	fraction2
0	0	0.00000	0	0.00000
1	0	0.00000	0	0.00000
2	0	0.00000	0	0.00000
3	0	0.00000	0	0.00000
4	0	0.00000	0	0.00000
5	0	0.00000	0	0.00000
6	0	0.00000	0	0.00000
7	0	0.00000	0	0.00000
8	0	0.00000	0	0.00000
9	0	0.00000	0	0.00000
10	0	0.00000	0	0.00000
11	0	0.00000	0	0.00000
12	0	0.00000	0	0.00000
13	0	0.00000	0	0.00000
14	0	0.00000	0	0.00000
15	0	0.00000	0	0.00000
16	0	0.00000	0	0.00000
17	0	0.00000	0	0.00000
18	1	0.00000	1	0.00000
19	65	0.00000	111	0.00000
20	3697	0.00010	6637	0.00019
21	117156	0.00331	246911	0.00697
22	1627	0.00005	3343	0.00009
23	4932	0.00014	9348	0.00026
24	16874	0.00048	26094	0.00074
25	35512	0.00100	44436	0.00126
26	83696	0.00236	81685	0.00231
27	67729	0.00191	70879	0.00200
28	78430	0.00222	96016	0.00271
29	91483	0.00258	153063	0.00432
30	193588	0.00547	317211	0.00896
31	422150	0.01193	666002	0.01881
32	913878	0.02582	1332826	0.03765
33	1651239	0.04665	2143771	0.06056
34	2572782	0.07268	3015622	0.08519
35	3556127	0.10046	3812188	0.10769
36	5425577	0.15327	5303540	0.14982
37	7514388	0.21227	6821026	0.19269
38	6673513	0.18852	6055773	0.17107
39	5051086	0.14269	4513062	0.12749
40	923964	0.02610	679949	0.01921
