#Mean	48.749
#Median	49.000
#Mode	45.000
#STDev	11.464
#GC	Count
0.0	41
1.0	27
2.0	28
3.0	51
4.0	29
5.0	96
6.0	86
7.0	244
8.0	253
9.0	681
10.0	722
11.0	1860
12.0	1831
13.0	4940
14.0	4744
15.0	12323
16.0	10578
17.0	26539
18.0	22813
19.0	51979
20.0	38634
21.0	91986
22.0	66764
23.0	144733
24.0	98999
25.0	214171
26.0	146376
27.0	300994
28.0	193121
29.0	400177
30.0	265646
31.0	513863
32.0	327317
33.0	648163
34.0	419123
35.0	792594
36.0	497669
37.0	941024
38.0	608837
39.0	1089506
40.0	687520
41.0	1209932
42.0	802989
43.0	1305666
44.0	834627
45.0	1355007
46.0	872431
47.0	1345716
48.0	850973
49.0	1303949
50.0	869267
51.0	1250573
52.0	809337
53.0	1203097
54.0	804987
55.0	1164339
56.0	786376
57.0	1142329
58.0	797662
59.0	1105948
60.0	746957
61.0	1038599
62.0	690349
63.0	896528
64.0	574250
65.0	699029
66.0	439083
67.0	502114
68.0	304804
69.0	315135
70.0	192881
71.0	181062
72.0	108809
73.0	95006
74.0	56160
75.0	45339
76.0	25253
77.0	18653
78.0	10528
79.0	7055
80.0	3898
81.0	2521
82.0	1426
83.0	802
84.0	435
85.0	246
86.0	137
87.0	87
88.0	40
89.0	12
90.0	3
91.0	6
92.0	0
93.0	0
94.0	0
95.0	0
96.0	0
97.0	0
98.0	0
99.0	0
100.0	0
