#Quality	count1	fraction1	count2	fraction2
0	0	0.00000	0	0.00000
1	0	0.00000	0	0.00000
2	120724	0.00005	253272	0.00010
3	0	0.00000	0	0.00000
4	0	0.00000	0	0.00000
5	16	0.00000	8	0.00000
6	6804	0.00000	6206	0.00000
7	16177	0.00001	14482	0.00001
8	86188	0.00003	84198	0.00003
9	54301	0.00002	55310	0.00002
10	91428	0.00004	105228	0.00004
11	24728	0.00001	25870	0.00001
12	11850	0.00000	9858	0.00000
13	26341	0.00001	21009	0.00001
14	35944	0.00001	41210	0.00002
15	174164	0.00007	228635	0.00009
16	217603	0.00009	321553	0.00013
17	185892	0.00007	239376	0.00010
18	493377	0.00019	782554	0.00031
19	393861	0.00016	577100	0.00023
20	595109	0.00023	677211	0.00027
21	514418	0.00020	709575	0.00028
22	713455	0.00028	832679	0.00033
23	1633660	0.00064	2024152	0.00081
24	1914764	0.00075	2446196	0.00098
25	2697381	0.00106	3630447	0.00146
26	5139358	0.00203	6464908	0.00260
27	6537892	0.00258	8610353	0.00346
28	4598478	0.00181	5301544	0.00213
29	8876953	0.00350	11053773	0.00444
30	18676419	0.00736	22907608	0.00920
31	53875054	0.02123	64339674	0.02583
32	26540289	0.01046	31114218	0.01249
33	70618741	0.02783	76126936	0.03056
34	139393908	0.05494	136722159	0.05488
35	327922888	0.12924	303439333	0.12181
36	104572810	0.04121	108616202	0.04360
37	274373900	0.10813	268106297	0.10763
38	166478367	0.06561	186011426	0.07467
39	312327813	0.12309	302634986	0.12149
40	337224040	0.13290	356327298	0.14304
41	670207095	0.26413	590250437	0.23694
