#BaseNum	count_1	min_1	max_1	mean_1	Q1_1	med_1	Q3_1	LW_1	RW_1	count_2	min_2	max_2	mean_2	Q1_2	med_2	Q3_2	LW_2	RW_2
0	45023909	10	40	32.72	31	34	34	30	34	45023909	10	40	32.52	31	34	34	27	34
1	45023909	8	40	32.90	31	34	34	30	34	45023909	8	40	32.67	31	34	34	27	34
2	45023909	8	40	32.95	31	34	34	30	34	45023909	8	40	32.71	31	34	34	27	34
3	45023909	8	40	36.44	37	37	37	32	37	45023909	8	41	36.29	35	37	37	32	37
4	45023909	8	41	36.40	37	37	37	32	37	45023909	8	41	36.31	37	37	37	32	37
5	45023909	8	41	36.39	37	37	37	32	37	45023909	8	41	36.32	36	37	37	32	37
6	45023909	8	41	36.39	37	37	37	32	37	45023909	8	41	36.34	37	37	37	32	37
7	45023909	8	41	36.38	37	37	37	32	37	45023909	8	41	36.33	37	37	37	32	37
8	45023909	8	41	38.16	38	39	39	32	39	45023909	8	41	38.07	38	39	39	32	39
9	45023909	8	41	38.15	38	39	39	32	39	45023909	7	41	38.07	38	39	39	32	39
10	45023909	6	41	38.14	38	39	39	32	39	45023909	6	41	38.05	38	39	39	32	39
11	45023909	6	41	38.11	38	39	39	32	39	45023909	6	41	38.04	38	39	39	32	39
12	45023909	6	41	38.10	38	39	39	32	39	45023909	6	41	38.02	38	39	39	31	39
13	45023909	6	41	39.56	39	41	41	32	41	45023909	6	41	39.47	39	40	41	32	41
14	45023909	6	41	39.55	39	41	41	32	41	45023909	6	41	39.44	39	40	41	31	41
15	45023909	6	41	39.53	39	40	41	32	41	45023909	7	41	39.42	39	40	41	31	41
16	45023909	6	41	39.50	39	40	41	32	41	45023909	6	41	39.40	39	40	41	31	41
17	45023909	6	41	39.48	39	40	41	32	41	45023909	6	41	39.35	39	40	41	31	41
18	45023909	6	41	39.51	39	40	41	32	41	45023909	6	41	39.38	39	40	41	31	41
19	45023909	6	41	39.48	39	40	41	31	41	45023909	6	41	39.34	39	40	41	31	41
20	45023909	6	41	39.39	39	40	41	31	41	45023909	6	41	39.30	39	40	41	31	41
21	45023909	6	41	39.40	39	40	41	31	41	45023906	6	41	39.27	39	40	41	31	41
22	45023908	6	41	39.37	39	40	41	31	41	45023898	6	41	39.22	38	40	41	31	41
23	45023905	6	41	39.33	39	40	41	31	41	45023895	6	41	39.20	38	40	41	31	41
