#BaseNum	Read1_linear	Read1_log	Read2_linear	Read2_log
1	32.721	32.261	32.524	31.996
2	32.896	32.292	32.671	31.918
3	32.945	32.382	32.708	32.025
4	36.439	35.834	36.292	35.527
5	36.396	35.855	36.309	35.705
6	36.391	35.892	36.323	35.782
7	36.391	35.880	36.335	35.791
8	36.378	35.775	36.327	35.686
9	38.156	37.075	38.074	36.907
10	38.146	37.024	38.065	36.842
11	38.138	36.977	38.052	36.776
12	38.105	36.235	38.042	36.722
13	38.102	36.847	38.016	36.304
14	39.562	37.265	39.468	37.561
15	39.547	37.729	39.444	37.502
16	39.531	37.687	39.423	37.420
17	39.504	37.602	39.397	37.358
18	39.484	37.546	39.351	36.384
19	39.511	37.520	39.381	37.220
20	39.480	37.469	39.343	36.912
21	39.394	35.778	39.303	37.048
22	39.395	37.277	39.275	37.021
23	39.369	37.246	39.224	36.496
24	39.325	36.579	39.199	36.818
25	39.298	37.067	39.154	36.742
26	39.256	36.556	39.343	37.397
27	39.224	36.906	39.368	37.392
28	39.408	37.626	39.366	37.341
29	39.434	37.587	39.365	37.356
30	39.434	37.547	39.347	37.312
31	39.423	37.504	39.336	37.308
32	39.396	37.182	39.308	37.245
33	39.376	37.382	39.277	37.185
34	39.359	37.392	39.254	37.178
35	39.326	37.337	39.219	37.130
36	39.297	37.323	39.192	37.084
37	39.263	37.295	39.163	37.086
38	39.219	36.892	39.119	37.023
39	39.182	37.150	39.088	37.001
40	39.141	37.078	39.037	36.913
41	39.086	36.742	38.969	36.276
42	39.044	37.016	38.914	36.734
43	38.994	36.844	38.859	36.685
44	38.928	36.422	38.794	36.610
45	38.880	36.874	38.727	36.514
46	38.812	36.800	38.650	36.400
47	38.751	36.776	38.574	36.326
48	38.680	36.706	38.690	36.887
49	38.616	36.645	38.691	36.908
50	38.533	36.561	38.640	36.728
51	38.444	36.484	38.565	36.731
52	38.365	36.439	38.493	36.709
53	38.274	36.340	38.406	36.628
54	38.155	35.224	38.315	36.531
55	38.074	36.158	38.226	36.474
56	37.989	36.123	38.122	36.379
57	37.882	36.011	38.001	36.242
58	37.780	35.934	37.915	36.216
59	37.678	35.874	37.822	36.170
60	37.572	35.787	37.711	36.071
61	37.458	35.695	37.598	35.754
62	37.338	35.582	37.482	35.878
63	37.227	35.495	37.363	35.608
64	37.113	35.232	37.264	35.737
65	37.109	35.696	37.151	35.662
66	37.033	35.644	37.028	35.552
67	36.936	35.547	36.917	35.486
68	36.831	35.503	36.793	35.376
69	36.721	35.419	36.681	35.296
70	36.603	35.053	36.583	35.291
71	36.491	35.256	36.473	35.182
72	36.369	35.113	36.354	35.009
73	36.251	34.922	36.227	34.727
74	36.132	34.878	36.112	34.738
75	36.016	34.811	35.984	34.672
76	33.208	24.005	32.203	21.316
