#File	/home/ctmr/projects/043_iceman/samples_other/Tunapuco_Matses/SRR1761699_1.fastq.gz	/home/ctmr/projects/043_iceman/samples_other/Tunapuco_Matses/SRR1761699_2.fastq.gz
#Total	90047818
#Matched	49782	0.05528%
#Name	Reads	ReadsPct
PhiX_read2_adapter	12163	0.01351%
I5_Nextera_Transposase_1	5506	0.00611%
Reverse_adapter	4456	0.00495%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	4200	0.00466%
PhiX_read1_adapter	3831	0.00425%
I7_Nextera_Transposase_2	2942	0.00327%
RNA_Adapter_(RA5)_part_#_15013205	2010	0.00223%
TruSeq_Universal_Adapter	1905	0.00212%
Nextera_LMP_Read2_External_Adapter	1741	0.00193%
I5_Adapter_Nextera	1927	0.00214%
RNA_PCR_Primer_Index_1_(RPI1)_2,9	1559	0.00173%
I7_Adapter_Nextera_No_Barcode	1242	0.00138%
I5_Nextera_Transposase_2	1216	0.00135%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N701	1145	0.00127%
TruSeq_Adapter_Index_1_6	1041	0.00116%
Nextera_LMP_Read1_External_Adapter	627	0.00070%
I7_Nextera_Transposase_1	615	0.00068%
Bisulfite_R1	555	0.00062%
RNA_PCR_Primer_(RP1)_part_#_15013198	554	0.00062%
Bisulfite_R2	453	0.00050%
PCR_Primers	15	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	13	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	15	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	15	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]517	7	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	7	0.00001%
I5_Primer_Nextera_XT_Index_Kit_v2_S511	5	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	3	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S521	2	0.00000%
pcr_dimer	2	0.00000%
TruSeq_Adapter_Index_4	4	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S513	2	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S518	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	1	0.00000%
TruSeq_Adapter_Index_27	1	0.00000%
TruSeq_Adapter_Index_9	1	0.00000%
